Date,Open,High,Low,Close,Volume,Market Cap
"Sep 30, 2021",41551.27,44092.60,41444.58,43790.90,31141681925,824619217608
"Sep 29, 2021",41064.98,42545.26,40829.67,41564.36,30602359905,782651228474
"Sep 28, 2021",42200.90,42775.15,40931.66,41034.54,30214940550,772639687709
"Sep 27, 2021",43234.18,44313.25,42190.63,42235.73,30980029059,795216175345
"Sep 26, 2021",42721.63,43919.30,40848.46,43208.54,30661222077,813490665613
"Sep 25, 2021",42840.89,42996.26,41759.92,42716.59,31604717236,804192450113
"Sep 24, 2021",44894.30,45080.49,40936.56,42839.75,42839345714,806470363647
"Sep 23, 2021",43560.30,44942.17,43109.34,44895.10,34244064430,845122403460
"Sep 22, 2021",40677.95,43978.62,40625.63,43574.51,38139709246,820218503579
"Sep 21, 2021",43012.23,43607.61,39787.61,40693.68,48701090088,765958488767
"Sep 20, 2021",47261.41,47328.20,42598.92,42843.80,43909845642,806395852718
"Sep 19, 2021",48268.86,48328.37,46919.80,47260.22,26967722648,889472404520
"Sep 18, 2021",47273.53,48791.78,47087.28,48278.36,28575630451,908584317849
"Sep 17, 2021",47771.00,48160.92,46832.52,47267.52,28727713711,889514744351
"Sep 16, 2021",48158.91,48486.83,47079.56,47783.36,31764293754,899179151780
"Sep 15, 2021",47098.00,48450.47,46773.33,48176.35,30484496466,906532479371
"Sep 14, 2021",44960.05,47218.13,44752.33,47092.49,38652152880,886095283701
"Sep 13, 2021",46057.22,46598.68,43591.32,44963.07,40969943253,845980481365
"Sep 12, 2021",45206.63,46364.88,44790.46,46063.27,27881980161,866636671662
"Sep 11, 2021",44869.84,45969.29,44818.27,45201.46,34499835245,850381828071
"Sep 10, 2021",46396.66,47031.74,44344.49,44883.91,39154666597,844367023727
"Sep 09, 2021",45774.74,47261.95,45669.74,46391.42,38672657013,872686454372
"Sep 08, 2021",46827.76,47334.06,44561.39,46091.39,49007762488,867002908109
"Sep 07, 2021",52660.48,52853.76,43285.21,46811.13,65210059683,880498621998
"Sep 06, 2021",51769.00,52700.94,51053.68,52633.54,38884105426,989965076456
"Sep 05, 2021",49937.86,51868.68,49538.60,51753.41,30322676319,973354882473
"Sep 04, 2021",50009.33,50545.58,49548.78,49944.63,37471327794,939286123133
"Sep 03, 2021",49288.25,50982.27,48386.09,50025.37,43206179619,940757184680
"Sep 02, 2021",48807.85,50343.42,48652.32,49327.72,39508070319,927590865738
"Sep 01, 2021",47099.77,49111.09,46562.44,48847.03,39139399125,918501510157
"Aug 31, 2021",47024.34,48189.55,46750.09,47166.69,34730363427,886869903603
"Aug 30, 2021",48834.85,48925.61,46950.27,47054.98,31847007016,884727824089
"Aug 29, 2021",48911.25,49644.11,47925.86,48829.83,25889650240,918057300166
"Aug 28, 2021",49072.59,49283.51,48499.24,48902.40,28568103401,919372790254
"Aug 27, 2021",46894.56,49112.79,46394.28,49058.67,34511076995,922265559164
"Aug 26, 2021",49002.64,49347.58,46405.78,46942.22,32666549568,882436522913
"Aug 25, 2021",47727.26,49202.88,47163.61,48960.79,32646349931,920337950861
"Aug 24, 2021",49562.35,49878.77,47687.12,47706.12,35361168834,896704765697
"Aug 23, 2021",49291.68,50482.08,49074.61,49546.15,34305053719,931244272409
"Aug 22, 2021",48869.10,49471.61,48199.94,49321.65,25370975378,926961622395
"Aug 21, 2021",49327.07,49717.02,48312.20,48905.49,40585205312,919092181743
"Aug 20, 2021",46723.12,49342.15,46650.71,49339.18,34706867452,927189789032
"Aug 19, 2021",44741.88,46970.76,43998.32,46717.58,37204312299,877875534875
"Aug 18, 2021",44686.75,45952.06,44364.03,44801.19,32194123075,841823296233
"Aug 17, 2021",45936.46,47139.57,44512.42,44695.36,33451362600,839796717683
"Aug 16, 2021",47019.96,47998.10,45700.32,46004.48,32776876610,864345726183
"Aug 15, 2021",47096.67,47357.11,45579.59,47047.00,30988958446,883882942188
"Aug 14, 2021",47810.69,48098.68,46177.63,47096.95,31211354442,884769956069
"Aug 13, 2021",44439.69,47831.98,44282.42,47793.32,31744259539,897802604441
"Aug 12, 2021",45576.88,46228.91,43861.45,44428.29,33723620826,834546790666
"Aug 11, 2021",45599.70,46735.63,45351.71,45593.64,34319709073,856398622622
"Aug 10, 2021",46280.85,46637.99,44705.56,45585.03,33546019517,856195142352
"Aug 09, 2021",43791.93,46456.83,42848.69,46365.40,38734079049,870805373889
"Aug 08, 2021",44574.44,45282.35,43331.91,43798.12,36302664750,822545074286
"Aug 07, 2021",42832.80,44689.86,42618.57,44555.80,40030862141,836730623772
"Aug 06, 2021",40865.87,43271.66,39932.18,42816.50,38226483046,804022903682
"Aug 05, 2021",39744.51,41341.93,37458.00,40869.55,35185031017,767423192906
"Aug 04, 2021",38213.33,39952.30,37589.17,39747.51,25372562724,746313542791
"Aug 03, 2021",39178.40,39750.03,37782.05,38152.98,26189830450,716341544145
"Aug 02, 2021",39907.26,40419.18,38746.35,39201.95,25595265436,735995665489
"Aug 01, 2021",41460.84,42541.68,39540.94,39974.90,26688438115,750472428208
"Jul 31, 2021",42196.30,42231.45,41110.83,41626.20,25802845343,781431379811
"Jul 30, 2021",40027.48,42235.55,38397.35,42235.55,33072782960,792829863258
"Jul 29, 2021",39995.45,40593.07,39352.06,40008.42,27167146027,750980784072
"Jul 28, 2021",39503.19,40816.07,38862.44,39995.91,38702404695,750706646107
"Jul 27, 2021",37276.04,39406.94,36441.73,39406.94,35097370560,739612127373
"Jul 26, 2021",35384.03,40499.68,35287.31,37337.53,51022126212,700734471386
"Jul 25, 2021",34290.29,35364.93,33881.84,35350.19,20856685287,663401935103
"Jul 24, 2021",33593.73,34490.39,33424.86,34292.45,21664706865,643518528651
"Jul 23, 2021",32305.96,33581.55,32057.89,33581.55,22552046192,630147722704
"Jul 22, 2021",32138.87,32576.40,31745.30,32313.11,19555230518,606316858335
"Jul 21, 2021",29796.29,32752.33,29526.18,32110.69,28203024559,602489309202
"Jul 20, 2021",30838.29,31006.19,29360.96,29807.35,23148267245,559244324356
"Jul 19, 2021",31800.01,31885.86,30563.74,30817.83,20434789545,578178147283
"Jul 18, 2021",31533.88,32399.00,31215.49,31796.81,18787986667,596513309277
"Jul 17, 2021",31397.31,31935.94,31223.99,31533.07,18895018942,591536476392
"Jul 16, 2021",31841.55,32218.41,31100.67,31421.54,23699476918,589415807378
"Jul 15, 2021",32827.87,33159.64,31175.71,31780.73,21300524237,596124462729
"Jul 14, 2021",32723.85,33061.40,31639.12,32822.35,21376531210,615635042692
"Jul 13, 2021",33125.47,33327.10,32261.42,32702.03,19120856669,613343664760
"Jul 12, 2021",34254.02,34592.16,32697.31,33155.85,24321499537,621827984940
"Jul 11, 2021",33509.08,34584.70,33346.74,34240.19,20108729370,642138104626
"Jul 10, 2021",33811.24,34209.07,33116.01,33520.52,22971873468,628615338753
